dTau,dAlpha
0.705737,0.0189219
1.04334,0.00226838
0.581883,0.00327523
1.10094,0.0025439
1.15191,0.00631517
0.891323,0.00886789
0.722842,0.00193895
0.542451,0.00231055
1.26142,0.00457806
0.84835,0.00304108
0.752454,0.00236603
0.617629,0.00651079
0.61235,0.00428361
1.2308,0.0023088
0.674602,0.021183
0.699475,0.010119
1.93387,0.00259604
1.89275,0.00258277
1.93666,0.00384988
1.54488,0.00216117
0.818532,0.00327987
2.39765,0.0023799
1.57179,0.00311042
1.25299,0.00321535
2.54054,0.00324524
