calo,xtal,Ep,dEp,dEp/Ep
13,39,0.97118,0.000348063,0.000358392
13,40,0.968238,0.000265378,0.000274083
13,41,0.966257,0.000270132,0.000279566
13,42,0.947215,0.000251986,0.000266029
13,43,0.943676,0.000256055,0.000271338
13,44,0.87784,0.000667902,0.000760846
13,47,0.932797,4.51477,4.84004
13,48,0.80834,1.68729,2.08736
13,49,1.00135,0.644996,0.644129
13,50,0.908606,0.408519,0.44961
13,51,0.858012,0.00348797,0.00406518
13,52,0.83535,0.00242999,0.00290895
13,53,0.729888,0.0597342,0.0818402
19,1,1.0744,4.86263,4.5259
19,3,0.880249,2.20712,2.50738
19,4,0.864065,0.114957,0.133042
19,5,0.914143,0.00738914,0.00808313
19,6,0.890978,0.00260947,0.00292877
19,7,0.88666,0.00162017,0.00182727
19,8,0.787228,0.00706554,0.00897521
19,9,0.939366,0.00997056,0.0106141
19,10,0.939074,0.00104232,0.00110995
19,11,0.965402,0.000566643,0.00058695
19,12,0.959026,0.000354394,0.000369535
19,13,0.96841,0.000300646,0.000310453
19,14,1.01828,0.000271248,0.000266378
19,15,0.975625,0.000239855,0.000245848
19,16,0.971174,0.000232853,0.000239764
19,17,0.889217,0.000604051,0.000679306
19,18,0.925596,0.00387862,0.00419041
19,19,0.955076,0.000656621,0.000687507
19,20,1.0027,0.00040438,0.000403289
19,21,0.972454,0.000276501,0.000284333
19,22,1.00236,0.000221693,0.000221172
19,23,0.942396,0.000219582,0.000233004
19,24,0.951756,0.000208156,0.000218708
19,25,0.996551,0.000214583,0.000215325
19,26,0.905788,0.000546693,0.000603555
19,27,0.928717,0.00341525,0.00367739
19,28,0.999843,0.000789398,0.000789521
19,29,1.00441,0.000439171,0.000437242
19,30,0.988075,0.000263656,0.000266838
19,31,0.94844,0.000249524,0.000263089
19,32,0.962412,0.000206134,0.000214185
19,33,0.972225,0.000191299,0.000196764
19,34,0.977923,0.000196696,0.000201137
19,35,0.90247,0.000526149,0.00058301
19,36,0.880031,0.190041,0.215948
19,37,0.857667,0.00170104,0.00198334
19,38,0.996663,0.000740124,0.000742603
19,39,0.978687,0.000448367,0.000458131
19,40,0.911722,0.000341391,0.000374446
19,41,0.979414,0.000287396,0.000293436
19,42,0.977509,0.000268245,0.000274417
19,43,0.910946,0.000248586,0.000272888
19,44,0.882934,0.000676607,0.000766316
19,45,0.966095,4.61376,4.77568
19,48,0.838462,0.269744,0.321713
19,49,0.738393,1.3594,1.84103
19,50,0.870247,0.0433635,0.0498289
19,51,0.88851,0.0178567,0.0200974
19,52,0.831228,0.00304477,0.00366297
19,53,0.413715,0.191107,0.461929
