Reading ... ../makePlots2/fits_time_normalised_xtal.root
Station 13
xtal, Entries, chiSqr/NDF, tau, A 
42, 0.801971, 148410, 11.4486+-4.0387, 0.00752158+-0.00227116
43, 1.05602, 140350, 67.8035+-79.2395, 0.00333057+-0.00141575
44, 7.16501, 84624, 3.45557+-2.15736, 0.0317386+-0.0397889
48, 2.63541e-19, 4, -6319.56+-2.12132, 0+-43.0743
49, 0.303937, 46, 0.581666+-0.953641, -2.86126e+07+-7.96298e+08
50, 5.4797, 379, 8.62729+-0.514709, -65.9476+-9.25174
51, 7.22359, 1422, 2.92886+-0.180367, 32.5929+-7.30309
52, 13.1336, 2916, 3.16653+-0.353184, -1583.31+-1555.3
53, 12.7477, 977, 9.22912+-0.274499, -229.542+-23.022

Surviving xtals: 94
Created : taus_time_normalised_xtal_noQ.root
